row_id,story_id,claim_id,chunk_id,similarity,evaluation,confidence,start_pos,end_pos
69,In Search of the Castaways,5055689a4237,The Count of Monte Cristo_chunk_741,0.40233849723488646,SUPPORTS,0.4269230769230769,2593500,2597500
69,In Search of the Castaways,5055689a4237,The Count of Monte Cristo_chunk_239,0.40060484732037605,SUPPORTS,0.3884615384615384,836500,840500
69,In Search of the Castaways,5055689a4237,The Count of Monte Cristo_chunk_93,0.39913374844557703,SUPPORTS,0.4269230769230769,325500,329500
69,In Search of the Castaways,5055689a4237,The Count of Monte Cristo_chunk_206,0.3951502108114904,SUPPORTS,0.4269230769230769,721000,725000
69,In Search of the Castaways,5055689a4237,The Count of Monte Cristo_chunk_109,0.39415288887674393,SUPPORTS,0.3884615384615384,381500,385500
69,In Search of the Castaways,437cc49d66db,In Search of the Castaways_chunk_204,0.4707206927197545,CONTRADICTS,0.48703703703703705,714000,718000
69,In Search of the Castaways,437cc49d66db,In Search of the Castaways_chunk_208,0.45516462988256534,SUPPORTS,0.36851851851851847,728000,732000
69,In Search of the Castaways,437cc49d66db,In Search of the Castaways_chunk_207,0.4489833019449143,SUPPORTS,0.387037037037037,724500,728500
69,In Search of the Castaways,437cc49d66db,The Count of Monte Cristo_chunk_524,0.4479212743559815,SUPPORTS,0.36851851851851847,1834000,1838000
69,In Search of the Castaways,437cc49d66db,In Search of the Castaways_chunk_202,0.4337471034873652,SUPPORTS,0.36851851851851847,707000,711000
