row_id,claim_id,claim_text,final_label,support_count,contradict_count,max_similarity
100,100_claim_1,"Growing up in Paris he devoured Voltaire and Rousseau, burning with enthusiasm for liberty and equality.",INSUFFICIENT,0,0,0.27351495558403205
102,102_claim_1,"During the Revolution he acted as a militant republican, attended major assemblies and helped organise trials of royalists.",INSUFFICIENT,0,0,0.15337979801108564
104,104_claim_1,"His parents were targeted in a reprisal for supporting the Revolution; his mother was killed, deepening his distrust of authority.",INSUFFICIENT,0,0,0.22529698684976268
105,105_claim_1,"He became head of a clandestine anti-Bonaparte society, organising underground actions to sap the Emperor’s support.",INSUFFICIENT,0,0,0.14327993679369377
106,106_claim_1,At a society meeting he met Fernand; though on opposite sides they used each other—Noirtier exploiting Fernand’s military information.,INSUFFICIENT,0,0,0.2413190572825175
107,107_claim_1,Napoleon’s triumph at Waterloo ended his hopes; in 1815 he withdrew from active plotting and turned to family affairs.,INSUFFICIENT,0,0,0.17942066256370603
108,108_claim_1,"He married a gentle apolitical woman, hoping domestic peace would replace political strife, and pinned on his son Villefort the hope that the boy would carry his ideals forward.",INSUFFICIENT,0,0,0.15388920868788483
109,109_claim_1,Villefort’s drift toward the royalists disappointed him; father and son argued politics at every family gathering.,INSUFFICIENT,0,0,0.14575439214021604
10,10_claim_1,While recording thirty-two dialects along the Murray River he was expelled by British colonists; after his notes were burned he vowed to “measure every hidden truth with my own feet.”,INSUFFICIENT,0,0,0.13493281452302164
112,112_claim_1,"Through underground circles he met the Count of Monte Cristo and fed the avenger vital information, lending invisible aid to the plot against his enemies.",INSUFFICIENT,0,0,0.14582087120499787
113,113_claim_1,"Born in Parma to a theological family—his father studied ancient manuscripts, his mother wrote poetry in several tongues.",INSUFFICIENT,0,0,0.17640864009209878
116,116_claim_1,"In Lisbon he backed constitutionalist Prince Pedro, was branded a Jacobin plotter out to poison King John VI and fled conservatives’ pursuit.",INSUFFICIENT,0,0,0.1487681811344652
117,117_claim_1,While escaping he hid lifetime research manuscripts in a Madeira monastery cellar—the eventual clue to Monte Cristo’s treasure.,INSUFFICIENT,0,0,0.20320863256415989
118,118_claim_1,"French gendarmes seized him at Toulon, accusing him of planning to bomb Bourbon restoration festivities; the real motive was that his code-breaking threatened a cardinal’s secret correspondence.",INSUFFICIENT,0,0,0.14172004202585647
11,11_claim_1,One night he saw first mate Ayrton secretly meet slave-traders; while shadowing them he was slashed across the left forearm with a dagger.,INSUFFICIENT,0,0,0.13414995879006386
120,120_claim_1,"He invented a “salt-blood” ink that revealed under heat, used it to help a Corsican patriot escape, and was transferred to the more secure Château d’If for the trouble.",INSUFFICIENT,0,0,0.14927260831925585
122,122_claim_1,At a Vienna-congress salon he briefly watched young prosecutor Villefort tamper with evidence against an Italian revolutionary.,INSUFFICIENT,0,0,0.1101788352471933
123,123_claim_1,"In Rome he and Noirtier de Villefort studied Napoleon’s secret letters together, then quarrelled over whether to publish their contents.",INSUFFICIENT,0,0,0.15880962856143443
125,125_claim_1,"In India he watched British troops crush a rising; to spare the rebel leader further torture he gave the man a merciful death, shaping his ethic of “killing when kindness demands it.”",INSUFFICIENT,0,0,0.12767397412840614
126,126_claim_1,His sister was burned as a witch for spurning a nobleman; the injustice fed a lifelong hatred of institutional rot.,INSUFFICIENT,0,0,0.14512442496207464
128,128_claim_1,"His invisible-ink formula came from temple-mural restoration in India, first used to rescue local epics the colonists had defaced.",INSUFFICIENT,0,0,0.13753246381035472
12,12_claim_1,He declined to take part in charting the maiden voyage of the Britannia; when news of her wreck arrived he filled three diary pages with the sentence “I could have prevented it.”,INSUFFICIENT,0,0,0.17306823579398925
130,130_claim_1,What seemed an epileptic fit was in fact sudden death from years of drinking prison water laced with lead.,INSUFFICIENT,0,0,0.1401658359904139
134,134_claim_1,After graduation a secret society enlisted him as strategist and propagandist in a campaign against corrupt rulers.,INSUFFICIENT,0,0,0.12918386449767572
137,137_claim_1,"Suspected again in 1815, he was re-arrested and shipped to the Château d’If, this time for life.",INSUFFICIENT,0,0,0.19534517402382973
138,138_claim_1,Long political warfare severed him from his family; the once-noble house declined and could offer no help.,INSUFFICIENT,0,0,0.17489552739611086
139,139_claim_1,"Enlightenment ideals of liberty, equality and fraternity sustained him, turning even the dungeon into a classroom for hope.",INSUFFICIENT,0,0,0.33336802632586715
13,13_claim_1,His deference to Lady Glenarvan echoed the tangled feelings he had once held for his mother; by becoming the expedition’s “living map” he tried to atone for failing to protect her.,INSUFFICIENT,0,0,0.1442652487809976
14,14_claim_1,Mutual recognition with Major McNabbs: both had lived among the Charrúa and confirmed their identities by exchanging certain hand signs.,INSUFFICIENT,0,0,0.13247614049078582
17,17_claim_1,"His father died early; his mother remarried a French officer, so the boy grew up fluent in English and French, later adding Spanish from an English tutor.",INSUFFICIENT,0,0,0.1615367715071278
18,18_claim_1,"He once found bribery entries in his father’s old ledgers, reported them, and saw his father’s colleague dismissed; temporary gossip made him wary of the upper nobility.",INSUFFICIENT,0,0,0.1430400404703519
19,19_claim_1,Because he spoke both French and English he was posted to a Mediterranean merchant fleet where he learned basic seamanship and celestial navigation.,INSUFFICIENT,0,0,0.12713904687836367
1,1_claim_1,"At twelve, Jacques Paganel fell in love with geography after reading Captain Cook’s nautical journal; with a homemade telescope he studied the stars and papered his bedroom walls with maps he drew himself, earning his father’s scolding for neglecting “serious” pursuits.",INSUFFICIENT,0,0,0.14741587682803242
20,20_claim_1,After a failed attempt to save a drowning comrade he was injured; the naval commander’s praise when he recovered left him with a strong sense of duty toward rescue.,INSUFFICIENT,0,0,0.1497871364708459
23,23_claim_1,"After his mother died she entrusted him with the care of his toddler half-brother; the child was later taken to Europe by the French stepfather and never heard from again, leaving Paganel with a lifelong dread of “separation by life and death.”",INSUFFICIENT,0,0,0.20327342612126628
25,25_claim_1,On the eve of sailing aboard Duncan he met ex-General von Wallace and obtained notes on South-American inland geography and native customs.,INSUFFICIENT,0,0,0.15892466962879154
26,26_claim_1,"Born in Liverpool’s slums to an alcoholic sailor father and a mother who died of tuberculosis while he was young, he watched his father be transported for smuggling and then endured an orphanage where nuns pilfered relief supplies, teaching him to despise authority.",INSUFFICIENT,0,0,0.15855699226152342
29,29_claim_1,The night before the mate was hanged he pressed a dagger engraved with his family crest into the boy’s hand.,INSUFFICIENT,0,0,0.1715769266123881
31,31_claim_1,"He rescued the indigenous elder Yurook from colonists and gained tribal protection, learning bush tracking while secretly mapping settler outposts.",INSUFFICIENT,0,0,0.09392271021595112
32,32_claim_1,"During clashes between tribe and settlers he steered both sides toward mutual ruin, then welded the survivors into an underground intelligence web that straddled the two worlds.",INSUFFICIENT,0,0,0.12574435921960825
34,34_claim_1,He found ship’s papers that mentioned an illicit Australian land deal by a British peer and planned to trade the information for a pardon.,INSUFFICIENT,0,0,0.13448399389368249
35,35_claim_1,"The mutiny began when Captain Grant uncovered his forged logbook and threatened to report him; “marooning” was a botched silencing in which Ayrton, thinking fast, locked the captain inside the keel-less lifeboat.",INSUFFICIENT,0,0,0.20423670622604279
36,36_claim_1,Ritual disguise: the Bible-quoting habit he had picked up as a mission pupil became a mask for his emotions.,INSUFFICIENT,0,0,0.12133905009151014
39,39_claim_1,"After discharge he adopted the alias Ben Joyce and shipped on the Liverpool–Lisbon trader, forming a mentor-friend bond with Captain Dewey and second mate Eddie.",INSUFFICIENT,0,0,0.3179813035920126
40,40_claim_1,"Skilled in shipboard medicine, he secretly stitched soldiers’ wounds yet distrusted shipmates, keeping a mental log and cultivating a “save-yourself-first” instinct.",INSUFFICIENT,0,0,0.09571138812585887
41,41_claim_1,"In Lisbon he unwittingly helped a black-marketeer dodge duty, was introduced to Duncan’s smuggling ring and, using his sea-craft, slipped past patrols several times; guilt nibbled at him yet profit lured him deeper.",INSUFFICIENT,0,0,0.11300075445533198
43,43_claim_1,"Suspected of colluding with the enemy, he panicked, slipped away in a lifeboat under darkness and fled to the Southern Hemisphere.",INSUFFICIENT,0,0,0.1523506731394228
45,45_claim_1,"Watching natives slaughtered in a raid re-awakened his conscience: he cached weapons, torched the trader and raised a stone marker beside the blaze to record his regret and repentance.",INSUFFICIENT,0,0,0.14863519927170532
46,46_claim_1,"Thalcave’s people faded as colonists advanced; his father, last of the tribal guides, knew the pampas geography and animal ways, while his mother died giving birth.",INSUFFICIENT,0,0,0.1609904288395978
